Id,Member,State,District,Party
52947,"Adams, Alma",N.C.,12,D
7,"Aderholt, Robert B.",Ala.,4,R
45268,"Aguilar, Pete",Calif.,31,D
45932,"Allen, Rick W.",Ga.,12,R
117278,"Allred, Colin",Texas,32,D
41125,"Amodei, Mark",Nev.,2,R
118844,"Armstrong, Kelly",N.D.,AL,R
96392,"Arrington, Jodey C.",Texas,19,R
127269,"Auchincloss, Jake",Mass.,4,D
118380,"Axne, Cindy",Iowa,3,D
1899,"Babin, Brian",Texas,36,R
97282,"Bacon, Don",Neb.,2,R
117582,"Baird, Jim",Ind.,4,R
119461,"Balderson, Troy",Ohio,12,R
96810,"Banks, Jim",Ind.,3,R
31285,"Barr, Andy",Ky.,6,R
97927,"Barragan, Nanette",Calif.,44,D
31580,"Bass, Karen",Calif.,37,D
43609,"Beatty, Joyce",Ohio,3,D
138710,"Bentz, Cliff",Ore.,2,R
31545,"Bera, Ami",Calif.,7,D
98562,"Bergman, Jack",Mich.,1,R
1366,"Beyer, Donald S. Jr.",Va.,8,D
140185,"Bice, Stephanie",Okla.,5,R
98219,"Biggs, Andy",Ariz.,5,R
25608,"Bilirakis, Gus",Fla.,12,R
128,"Bishop, Sanford D. Jr.",Ga.,2,D
127362,"Bishop, Dan",N.C.,9,R
403,"Blumenauer, Earl",Ore.,3,D
98281,"Blunt Rochester, Lisa",Del.,AL,D
140201,"Boebert, Lauren",Colo.,3,R
43143,"Bonamici, Suzanne",Ore.,1,D
52339,"Bost, Mike",Ill.,12,R
118077,"Bourdeaux, Carolyn",Ga.,7,D
139860,"Bowman, Jamaal",N.Y.,16,D
53287,"Boyle, Brendan F.",Pa.,2,D
465,"Brady, Kevin",Texas,8,R
31389,"Brooks, Mo",Ala.,5,R
52571,"Brown, Anthony G.",Md.,4,D
80349,"Brown, Shontel",Ohio,11,D
45252,"Brownley, Julia",Calif.,26,D
25602,"Buchanan, Vern",Fla.,16,R
32147,"Buck, Ken",Colo.,4,R
31061,"Bucshon, Larry",Ind.,8,R
99221,"Budd, Ted",N.C.,13,R
78422,"Burchett, Tim",Tenn.,2,R
14812,"Burgess, Michael C.",Texas,26,R
99123,"Bush, Cori",Mo.,1,D
43819,"Bustos, Cheri",Ill.,17,D
19842,"Butterfield, G.K.",N.C.,1,D
70,"Calvert, Ken",Calif.,42,R
141868,"Cammack, Kat",Fla.,3,R
73900,"Carbajal, Salud",Calif.,24,D
45264,"Cardenas, Tony",Calif.,29,D
149085,"Carey, Mike",Ohio,15,R
72635,"Carl, Jerry",Ala.,1,R
28062,"Carson, Andre",Ind.,7,D
14852,"Carter, John",Texas,31,R
53307,"Carter, Earl L. ""Buddy""",Ga.,1,R
26274,"Carter, Troy",La.,2,D
44174,"Cartwright, Matt",Pa.,8,D
16584,"Case, Ed",Hawaii,1,D
117314,"Casten, Sean",Ill.,6,D
25614,"Castor, Kathy",Fla.,14,D
44840,"Castro, Joaquin",Texas,20,D
137326,"Cawthorn, Madison",N.C.,11,R
372,"Chabot, Steve",Ohio,1,R
98270,"Cheney, Liz",Wyo.,AL,R
119538,"Cherfilus-McCormick, Sheila",Fla.,20,D
30544,"Chu, Judy",Calif.,27,D
7318,"Cicilline, David",R.I.,1,D
50803,"Clark, Katherine M.",Mass.,5,D
21623,"Clarke, Yvette D.",N.Y.,9,D
20407,"Cleaver, Emanuel II",Mo.,5,D
121343,"Cline, Ben",Va.,6,R
117262,"Cloud, Michael",Texas,27,R
441,"Clyburn, James E.",S.C.,6,D
139547,"Clyde, Andrew",Ga.,9,R
1762,"Cohen, Steve",Tenn.,9,D
15873,"Cole, Tom",Okla.,4,R
91046,"Comer, James R.",Ky.,1,R
8220,"Connolly, Gerald E.",Va.,11,D
1025,"Cooper, Jim",Tenn.,5,D
97931,"Correa, Lou",Calif.,46,D
18202,"Costa, Jim",Calif.,16,D
16021,"Courtney, Joe",Conn.,2,D
98193,"Craig, Angie",Minn.,2,D
31216,"Crawford, Rick",Ark.,1,R
117126,"Crenshaw, Daniel",Texas,2,R
26524,"Crist, Charlie",Fla.,13,D
118533,"Crow, Jason",Colo.,6,D
14773,"Cuellar, Henry",Texas,28,D
60024,"Curtis, John",Utah,3,R
120168,"Davids, Sharice",Kan.,3,D
96374,"Davidson, Warren",Ohio,8,R
46493,"Davis, Rodney",Ill.,13,R
162,"Davis, Danny K.",Ill.,7,D
404,"DeFazio, Peter A.",Ore.,4,D
82,"DeGette, Diana",Colo.,1,D
92,"DeLauro, Rosa",Conn.,3,D
30767,"DeSaulnier, Mark",Calif.,11,D
117812,"Dean, Madeleine",Pa.,4,D
32274,"DelBene, Suzan",Wash.,1,D
46146,"Demings, Val B.",Fla.,10,D
32122,"DesJarlais, Scott",Tenn.,4,R
31002,"Deutch, Ted",Fla.,22,D
16082,"Diaz-Balart, Mario",Fla.,25,R
54479,"Dingell, Debbie",Mich.,12,D
467,"Doggett, Lloyd",Texas,35,D
46160,"Donalds, Byron",Fla.,19,R
425,"Doyle, Mike",Pa.,18,D
31492,"Duncan, Jeff",S.C.,3,R
97679,"Dunn, Neal",Fla.,2,R
117159,"Ellzey, Jake",Texas,6,R
32166,"Emmer, Tom",Minn.,6,R
70393,"Escobar, Veronica",Texas,16,D
41,"Eshoo, Anna G.",Calif.,18,D
45656,"Espaillat, Adriano",N.Y.,13,D
107922,"Estes, Ron",Kan.,4,R
6287,"Evans, Dwight",Pa.,3,D
143363,"Fallon, Pat",Texas,4,R
139053,"Feenstra, Randy",Iowa,4,R
97970,"Ferguson, Drew",Ga.,3,R
141623,"Fischbach, Michelle",Minn.,7,R
141568,"Fitzgerald, Scott",Wis.,5,R
97202,"Fitzpatrick, Brian",Pa.,1,R
32059,"Fleischmann, Chuck",Tenn.,3,R
117177,"Fletcher, Lizzie",Texas,7,D
27834,"Foster, Bill",Ill.,11,D
20349,"Foxx, Virginia",N.C.,5,R
4380,"Frankel, Lois",Fla.,21,D
126764,"Franklin, Scott",Fla.,15,R
52455,"Fulcher, Russ",Idaho,1,R
99092,"Gaetz, Matt",Fla.,1,R
98216,"Gallagher, Mike",Wis.,8,R
54915,"Gallego, Ruben",Ariz.,7,D
1428,"Garamendi, John",Calif.,3,D
139813,"Garbarino, Andrew",N.Y.,2,R
137827,"Garcia, Mike",Calif.,25,R
6561,"Garcia, Sylvia R.",Texas,29,D
72732,"Garcia, Jesus ""Chuy""",Ill.,4,D
31136,"Gibbs, Bob",Ohio,7,R
73786,"Gimenez, Carlos",Fla.,26,R
19262,"Gohmert, Louie",Texas,1,R
118337,"Golden, Jared",Maine,2,D
107932,"Gomez, Jimmy",Calif.,34,D
137503,"Gonzales, Tony",Texas,23,R
117759,"Gonzalez, Anthony",Ohio,16,R
96415,"Gonzalez, Vicente",Texas,15,D
97743,"Good, Bob",Va.,5,R
117155,"Gooden, Lance",Texas,5,R
32387,"Gosar, Paul",Ariz.,4,R
97950,"Gottheimer, Josh",N.J.,5,D
469,"Granger, Kay",Texas,12,R
55538,"Graves, Garret",La.,6,R
10812,"Graves, Sam",Mo.,6,R
18326,"Green, Al",Texas,9,D
108843,"Green, Mark E.",Tenn.,7,R
139374,"Greene, Marjorie Taylor",Ga.,14,R
32762,"Griffith, Morgan",Va.,9,R
16006,"Grijalva, Raul M.",Ariz.,3,D
54695,"Grothman, Glenn",Wis.,6,R
118023,"Guest, Michael",Miss.,3,R
28555,"Guthrie, Brett",Ky.,2,R
118129,"Harder, Josh",Calif.,10,D
27884,"Harris, Andy",Md.,1,R
141338,"Harshbarger, Diana",Tenn.,1,R
31986,"Hartzler, Vicky",Mo.,4,R
120969,"Hayes, Jahana",Conn.,5,D
118853,"Hern, Kevin",Okla.,1,R
117691,"Herrell, Yvette",N.M.,2,R
32255,"Herrera Beutler, Jaime",Wash.,3,R
31789,"Hice, Jody B.",Ga.,10,R
101469,"Higgins, Clay",La.,3,R
21847,"Higgins, Brian",N.Y.,26,D
53223,"Hill, French",Ark.,2,R
29142,"Himes, Jim",Conn.,4,D
139047,"Hinson, Ashley",Iowa,1,R
96817,"Hollingsworth, Trey",Ind.,9,R
